Name	Sex	Confidence	Concentration	Responsiveness	Initiative	Excitability	Hearing Sensitivity	Body Sensitivity	CR	IP	PP	CR	MP	PP	IP	HG	H1	H2	ACT	CBDC Elimination?	CBDC Outcome Reason	BehElim	MedElim	Source
11-0859	Male	3	4	5	4	5	5	5	3	2	2	5	3	3	2	5	4	1	5	0	0	0	0	TSA
11-0862	Male	4	4	4	5	5	5	5	3	3	3	5	4	4	4	4	5	5	5	0	0	0	0	TSA
12-0446	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
11-0861	Female	5	4	5	5	5	5	5	3	3	2	5	5	3	5	4	4	5	5	0	0	0	0	TSA
11-0863	Male	4	4	4	4	5	5	5	3	2	3	5	2	4	5	2	2	4	5	0	0	0	0	TSA
11-0942	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
11-0944	Female	4	4	4	5	4	5	5	3	2	2	5	5	4	4	4	5	5	5	0	0	0	0	TSA
11-0945	Male	3	4	3	3	3	5	4	3	2	2	5	3	4	4	4	5	5	5	0	0	0	0	TSA
11-0947	Female	4	3	4	5	4	5	5	3	3	3	5	5	4	5	4	5	5	5	0	0	0	0	TSA
02-1010	Female	4	3	4	4	3	4	5	NA	NA	NA	4	3	5	4	4	3	4	5	0	0	0	0	F1
11-0946	Male	3	4	3	3	4	5	5	3	1	3	5	5	5	3	4	5	5	5	0	0	0	0	TSA
12-0026	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
12-0023	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	TSA
12-0474	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
12-0473	Female	4	4	4	4	5	5	5	3	3	2	5	3	4	5	4	5	5	5	0	0	0	0	TSA
12-0475	Female	5	4	4	5	5	5	5	3	3	1	5	1	1	4	4	4	5	5	0	0	0	0	TSA
12-0022	Male	2	3	5	5	4	5	4	3	3	3	5	3	4	3	4	3	5	5	0	0	0	0	TSA
12-0487	Female	3	3	5	5	5	5	5	3	3	3	5	4	5	5	4	5	5	5	0	0	0	0	TSA
12-0027	Female	4	5	5	4	4	5	5	3	2	2	5	3	3	4	4	4	5	5	0	0	0	0	TSA
12-0025	Male	4	4	5	5	5	5	5	3	3	2	5	4	3	5	4	5	5	5	0	0	0	0	TSA
12-0020	Female	5	5	5	4	4	5	5	3	2	2	5	4	4	3	4	5	5	5	0	0	0	0	TSA
12-0449	Female	5	5	5	5	5	5	5	3	3	3	5	5	4	5	4	5	5	5	0	0	0	0	TSA
12-0011	Male	5	4	4	5	5	5	5	3	3	3	5	5	5	5	4	5	5	5	0	0	0	0	TSA
12-0014	Female	4	5	4	5	5	5	5	3	3	3	5	4	5	5	4	5	5	5	0	0	0	0	TSA
12-0471	Male	4	3	4	4	4	5	5	3	2	2	5	3	5	5	4	5	5	5	0	0	0	0	TSA
12-0448	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
12-0467	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
12-0009	Male	4	3	4	5	5	5	5	3	3	3	5	5	4	5	4	5	5	5	0	0	0	0	TSA
12-0447	Male	4	4	4	5	4	5	5	3	3	3	5	3	5	5	4	1	5	5	0	0	0	0	TSA
12-0016	Male	4	4	5	5	4	5	5	3	2	3	5	3	3	4	4	4	3	4	0	0	0	0	TSA
12-0024	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
12-0450	Male	5	4	4	5	5	5	5	3	3	3	5	5	5	5	4	5	5	5	0	0	0	0	TSA
12-0012	Male	5	5	4	5	5	5	5	3	3	3	5	4	5	3	4	5	5	5	0	0	0	0	TSA
12-0015	Female	5	4	4	5	4	5	5	3	3	3	5	4	5	5	4	5	5	5	0	0	0	0	TSA
12-0492	Female	4	5	5	5	5	5	5	3	2	3	5	2	4	2	1	5	5	5	0	0	0	0	TSA
12-0490	Female	5	4	5	5	4	5	5	3	3	2	5	5	3	5	5	5	5	5	0	0	0	0	TSA
12-0469	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	TSA
12-0010	Female	3	5	5	5	4	5	5	3	2	3	5	5	5	4	4	5	5	5	0	0	0	0	TSA
12-0486	Female	3	3	2	2	4	5	5	3	1	2	5	2	5	2	1	2	1	5	0	0	0	0	TSA
12-0488	Male	3	4	3	3	5	5	5	3	3	2	5	4	4	3	4	5	5	5	0	0	0	0	TSA
12-0491	Female	5	3	5	4	4	5	5	3	2	3	5	4	5	5	5	5	5	5	0	0	0	0	TSA
12-0489	Male	3	3	4	4	4	5	5	3	1	2.5	5	4	5	4	4	5	5	5	0	0	0	0	TSA
12-0470	Female	5	5	5	5	5	5	5	3	2	2	5	3	3	5	4	5	3	5	0	0	0	0	TSA
12-0468	Male	2	4	4	4	4	5	5	3	3	2	5	3	5	5	4	5	5	5	0	0	0	0	TSA
12-0472	Female	4	5	5	4	5	5	5	3	2	1.5	5	2	3	5	4	5	5	5	0	0	0	0	TSA
12-0013	Female	4	5	4	4	4	5	5	3	3	3	5	5	5	5	4	5	4	5	0	0	0	0	TSA
12-0021	Male	5	4	5	5	4	5	5	3	2	3	5	3	4	3	4	3	5	5	0	0	0	0	TSA
09-1207	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
09-1406	Male	5	5	5	5	5	5	5	3	3	3	5	5	3	2	4	5	3	5	0	0	0	0	TSA
09-1408	Female	3	3	3	4	5	5	5	3	1	2	5	4	3	5	4	5	5	5	0	0	0	0	TSA
10-0397	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
02-1000	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Med	0	1	F1
02-1139	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1
